date,gross_return,turnover,cost,net_return,nav
2023-04-11,0.00537718059530046,0.0,0.0,0.00537718059530046,1.1648474748282553
2023-04-12,0.013143601488893038,0.0,0.0,0.013143601488893038,1.1801577658327413
2023-04-13,-0.008297298627262611,0.0,0.0,-0.008297298627262611,1.170365644422344
2023-04-14,0.005625029620591615,0.0,0.0,0.005625029620591615,1.1769489858391424
2023-04-17,0.008897752220998699,0.5871404538101873,0.000880710680715281,0.008017041540283418,1.1863846347494091
2023-04-18,0.0030658391312322615,0.0,0.0,0.0030658391312322615,1.1900218991873164
2023-04-19,-0.0031258015822853433,0.0,0.0,-0.0031258015822853433,1.1863021268518825
2023-04-20,0.005655593013141802,0.0,0.0,0.005655593013141802,1.1930113688719814
2023-04-21,-0.012408744910889292,0.0,0.0,-0.012408744910889292,1.1782075951198583
2023-04-24,0.004588481791422814,0.5871404538101873,0.000880710680715281,0.003707771110707533,1.18257611920346
2023-04-25,0.0031509972425237984,0.0,0.0,0.0031509972425237984,1.1863024132941447
2023-04-26,-0.003773632913738118,0.0,0.0,-0.003773632913738118,1.181825743461691
2023-04-27,0.0005282120660538459,0.0,0.0,0.0005282120660538459,1.1824499980793606
2023-04-28,0.014091706511130234,0.0,0.0,0.014091706511130234,1.1991127364163816
2023-05-04,0.009187822290117316,0.021207080738416262,3.181062110762439e-05,0.009156011669009692,1.2100918266234681
2023-05-05,-0.002498907467621978,0.0,0.0,-0.002498907467621978,1.2070679191214104
2023-05-08,0.006180549879697017,0.5527618491517925,0.0008291427737276887,0.005351407105969329,1.2135274309611843
2023-05-09,-0.005297351546448924,0.0,0.0,-0.005297351546448924,1.207098949548124
2023-05-10,-0.008628142394931697,0.0,0.0,-0.008628142394931697,1.1966839279266501
2023-05-11,0.0005794832768800236,0.0,0.0,0.0005794832768800236,1.1973773862505945
2023-05-12,-0.0068108806694049395,0.0,0.0,-0.0068108806694049395,1.1892221917565977
2023-05-15,-0.00046749735605029004,0.9184482720890421,0.0013776724081335631,-0.0018451697641838532,1.1870278749254721
2023-05-16,-0.0020369818458841086,0.0,0.0,-0.0020369818458841086,1.1846099206936906
2023-05-17,0.0033673347026393218,0.0,0.0,0.0033673347026393218,1.1885988987887333
2023-05-18,0.011368491428307436,0.0,0.0,0.011368491428307436,1.2021114751813087
2023-05-19,0.006193371080964353,0.0,0.0,0.006193371080964353,1.209556597627792
2023-05-22,0.00018023047432845756,1.088107637836751,0.0016321614567551266,-0.001451930982426669,1.2078004049286977
2023-05-23,0.0006905002134108805,0.0,0.0,0.0006905002134108805,1.2086343913660587
2023-05-24,-0.002770611614251268,0.0,0.0,-0.002770611614251268,1.2052857348839563
2023-05-25,0.0034767060696873136,0.0,0.0,0.0034767060696873136,1.209476159114135
2023-05-26,-0.0006683732966026085,0.0,0.0,-0.0006683732966026085,1.2086677775465056
2023-05-29,0.0148013804237335,0.37743063511027786,0.0005661459526654168,0.014235234471068083,1.2258734467575048
2023-05-30,0.0035801175009378457,0.0,0.0,0.0035801175009378457,1.2302622177381761
2023-05-31,0.003154590591705187,0.0,0.0,0.003154590591705187,1.2341431913555834
2023-06-01,0.0006042628390504099,0.0,0.0,0.0006042628390504099,1.2348889382241865
2023-06-02,0.005502877235912842,0.0,0.0,0.005502877235912842,1.2416843804512212
2023-06-05,-0.0008458342556111891,0.09010208145367765,0.00013515312218051646,-0.0009809873777917055,1.2404663037467973
2023-06-06,0.0015930654384946953,0.0,0.0,0.0015930654384946953,1.2424424477429137
2023-06-07,0.00044938301413830265,0.0,0.0,0.00044938301413830265,1.2430007802749738
2023-06-08,-0.010514454172176661,0.0,0.0,-0.010514454172176661,1.229931305534793
2023-06-09,0.011589419209519513,0.0,0.0,0.011589419209519513,1.2441854950335474
2023-06-12,0.00363286823930165,0.6137529197123411,0.0009206293795685117,0.0027122388597331385,1.2475600232818937
2023-06-13,0.009953968875902615,0.0,0.0,0.009953968875902615,1.2599781969244621
2023-06-14,-0.00018646953734458298,0.0,0.0,-0.00018646953734458298,1.2597432493730174
2023-06-15,-0.0009891181890316868,0.0,0.0,-0.0009891181890316868,1.2584972144115527
2023-06-16,0.006246509384719633,0.0,0.0,0.006246509384719633,1.266358429072018
2023-06-19,0.00015563222273698028,0.9268285319786651,0.0013902427979679978,-0.0012346105752310175,1.2647949695634528
2023-06-20,-9.027162711961216e-05,0.0,0.0,-9.027162711961216e-05,1.2646807944635776
2023-06-21,-0.006426167904178186,0.0,0.0,-0.006426167904178186,1.2565537433331653
