fund_code,fund_name,fund_family,share_class,fund_type,etf_symbol,etf_name,underlying_name,asset_class,mapping_score,mapping_confidence,mapping_method,etf_rows_valid,etf_median_amount_60d,executable
009012,平安创业板ETF联接A,平安创业板ETF联接,A,指数型-股票,159964,创业板ETF平安,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1757,5569303.0,True
009033,建信上海金ETF联接A,建信上海金ETF联接,A,指数型-其他,518860,上海金ETF建信,上海金,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1413,29407163.0,True
009051,易方达中证红利ETF联接发起式A,易方达中证红利ETF联接发起式,A,指数型-股票,515180,红利ETF易方达,红利,equity_dividend,100.0,HIGH,name_underlying_issuer_v1,1592,404295002.0,True
009067,国泰中证新能源汽车ETF联接A,国泰中证新能源汽车ETF联接,A,指数型-股票,516110,汽车ETF国泰,汽车,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1261,34966991.0,True
009198,前海开源黄金ETF联接A,前海开源黄金ETF联接,A,指数型-其他,159812,黄金ETF前海开源,黄金,commodity,100.0,HIGH,name_underlying_issuer_v1,1488,20807280.5,True
009477,中银上海金ETF联接A,中银上海金ETF联接,A,指数型-其他,518890,上海金ETF中银,上海金,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1404,51910055.0,True
009504,富国上海金ETF联接A,富国上海金ETF联接,A,指数型-其他,518680,金ETF富国,金,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1448,150671222.0,True
010769,天弘中证农业主题ETF联接A,天弘中证农业主题ETF联接,A,指数型-股票,512620,农业ETF天弘,农业,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,158,13928548.5,True
011035,嘉实中证稀土产业ETF联接A,嘉实中证稀土产业ETF联接,A,指数型-股票,516150,稀土ETF嘉实,稀土,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1294,300940592.0,True
011612,华夏科创50ETF联接A,华夏科创50ETF联接,A,指数型-股票,588000,科创50ETF华夏,科创50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1375,7293953185.5,True
011614,工银科创50ETF联接A,工银科创50ETF联接,A,指数型-股票,588050,科创50ETF工银,科创50,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1375,469907830.5,True
011964,泰康中证500ETF联接A,泰康中证500ETF联接,A,指数型-股票,515530,中证500ETF泰康,中证500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1380,4555357.0,True
011966,招商中证光伏产业ETF联接A,招商中证光伏产业ETF联接,A,指数型-股票,516230,光伏ETF招商,光伏,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,108,9232203.0,True
012179,浦银安盛创业板ETF联接A,浦银安盛创业板ETF联接,A,指数型-股票,159810,创业板ETF浦银,创业板,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1459,3522006.5,True
012275,富国中证沪港深500ETF联接A,富国中证沪港深500ETF联接,A,指数型-股票,517100,沪港深500ETF富国,沪港深500,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1305,1527061.0,True
012348,天弘恒生科技ETF联接A,天弘恒生科技ETF联接,A,指数型-海外股票,520920,恒生科技ETF天弘,恒生科技,overseas,100.0,HIGH,name_underlying_issuer_v1,190,223848384.5,True
012362,国泰中证全指证券公司ETF联接A,国泰中证全指证券公司ETF联接,A,指数型-股票,512880,证券ETF国泰,证券,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2413,2359638591.5,True
012537,华宝中证细分化工产业主题ETF联接A,华宝中证细分化工产业主题ETF联接,A,指数型-股票,516020,化工ETF华宝,化工,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1301,195708034.0,True
012548,华宝中证细分食品饮料产业主题ETF联接A,华宝中证细分食品饮料产业主题ETF联接,A,指数型-股票,515710,食品饮料ETF华宝,食品饮料,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1338,29674288.0,True
012550,华宝中证电子50ETF联接A,华宝中证电子50ETF联接,A,指数型-股票,515260,电子ETF华宝,电子,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1445,82566393.5,True
012552,天弘芯片产业ETF联接A,天弘芯片产业ETF联接,A,指数型-股票,159310,芯片ETF天弘,芯片,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,537,31049325.5,True
012590,易方达中证全指证券公司ETF联接A,易方达中证全指证券公司ETF联接,A,指数型-股票,512570,证券ETF易方达,证券,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,2164,155395219.0,True
012596,汇添富中证800ETF联接A,汇添富中证800ETF联接,A,指数型-股票,515800,中证800ETF汇添富,中证800,equity_broad,100.0,HIGH,name_underlying_issuer_v1,1596,119919427.5,True
012619,嘉实中证软件服务ETF联接A,嘉实中证软件服务ETF联接,A,指数型-股票,159852,软件ETF嘉实,软件,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1315,415513196.0,True
012629,广发国证半导体芯片ETF联接A,广发国证半导体芯片ETF联接,A,指数型-股票,159801,芯片ETF广发,芯片,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1557,346936532.0,True
012634,国泰中证医疗ETF联接A,国泰中证医疗ETF联接,A,指数型-股票,159828,医疗ETF国泰,医疗,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1335,49394807.5,True
012636,国泰中证全指软件ETF联接A,国泰中证全指软件ETF联接,A,指数型-股票,515230,软件ETF国泰,软件,equity_thematic,100.0,HIGH,name_underlying_issuer_v1,1305,202680918.5,True
